"V1","V2","V3","V4","V5","V6","V7","V8"
"22002","5","6","14","14","25","30","3"
"22003","6","13","20","26","27","31","6"
"22004","5","12","18","22","26","30","6"
"22005","5","8","13","21","26","29","5"
"22006","5","12","23","23","27","33","11"
"22007","4","5","10","23","24","28","8"
"22008","2","6","8","19","26","26","8"
"22009","3","8","19","26","28","33","10"
"22010","6","12","18","18","22","29","10"
"22011","3","8","8","16","22","29","11"
"22012","5","8","9","13","23","30","3"
"22013","5","11","19","24","26","33","9"
"22014","7","14","21","25","30","33","13"
"22015","4","10","10","24","24","32","8"
"22016","4","7","14","23","26","30","12"
"22017","3","5","6","18","19","31","9"
"22018","3","6","13","14","16","26","12"
"22019","4","8","10","17","20","31","15"
