"V1","V2","V3","V4","V5","V6","V7","V8"
"10002","5","9","15","21","23","31","14"
"10003","3","8","14","20","24","32","12"
"10004","5","14","16","19","25","31","11"
"10005","5","9","12","18","25","31","9"
"10006","4","7","13","14","16","22","9"
"10007","4","5","14","20","23","26","13"
"10008","6","6","9","17","23","28","5"
"10009","5","10","23","23","29","31","9"
"10010","1","2","9","16","27","30","12"
"10011","3","6","13","21","28","32","15"
"10012","5","8","11","14","24","30","6"
"10013","2","3","10","14","18","22","12"
"10014","6","6","10","13","19","25","7"
"10015","5","6","10","21","26","33","6"
"10016","4","6","10","20","22","30","3"
"10017","5","9","15","18","30","30","10"
"10018","7","13","13","17","27","28","8"
"10019","5","12","17","22","27","29","10"
"10020","6","12","16","20","25","28","12"
"10021","3","6","12","23","28","29","12"
"10022","5","8","16","16","21","27","3"
"10023","3","11","15","20","24","30","5"
"10024","4","6","13","17","22","22","6"
"10025","4","13","20","22","26","27","10"
"10026","4","13","17","20","23","25","8"
"10027","5","8","12","16","22","28","6"
"10028","13","14","19","22","28","29","1"
"10029","6","14","18","23","29","31","6"
"10030","4","8","23","25","27","29","6"
"10031","5","9","16","23","28","30","9"
"10032","7","11","20","22","26","28","7"
"10033","4","5","15","16","23","30","12"
"10034","5","6","7","12","22","30","2"
"10035","4","11","15","23","27","29","9"
"10036","1","7","11","16","21","27","10"
"10037","12","16","18","21","27","31","7"
"10038","4","10","18","19","20","30","7"
"10039","7","15","16","24","26","31","6"
"10040","3","6","14","18","23","32","7"
"10041","4","6","12","14","21","29","9"
"10042","13","20","21","26","27","29","8"
"10043","3","12","14","16","25","27","5"
"10044","1","6","12","20","22","28","11"
"10045","10","11","13","19","27","28","6"
"10046","2","5","14","18","25","26","8"
"10047","7","7","16","20","23","30","3"
"10048","6","10","20","21","23","30","3"
"10049","2","7","16","22","28","30","7"
"10050","5","15","20","20","27","28","8"
"10051","8","13","19","19","25","29","5"
"10052","6","8","13","22","26","32","10"
"10053","3","4","17","19","23","28","7"
"10054","3","3","16","19","26","32","6"
"10055","7","14","20","21","28","31","6"
"10056","5","11","17","22","25","28","3"
"10057","4","7","16","22","26","29","8"
"10058","6","10","12","19","21","28","4"
"10059","2","7","11","14","22","27","12"
"10060","7","13","13","16","22","29","10"
"10061","5","9","15","23","26","33","6"
"10062","7","8","15","19","25","29","9"
"10063","6","7","14","20","27","28","13"
"10064","4","7","12","18","26","31","10"
"10065","2","12","19","25","25","31","7"
"10066","3","11","17","26","29","30","11"
"10067","4","17","20","20","32","34","8"
"10068","1","6","9","20","24","27","3"
"10069","8","11","16","17","27","30","9"
"10070","4","15","18","22","27","28","7"
"10071","2","7","18","18","25","31","8"
"10072","6","13","16","19","22","26","10"
"10073","1","6","12","17","23","28","7"
"10074","6","13","13","15","25","28","5"
"10075","3","13","14","22","23","28","10"
"10076","6","7","11","19","22","27","1"
"10077","5","13","16","18","24","27","10"
"10078","6","10","11","19","20","29","5"
"10079","10","12","13","22","26","32","9"
"10080","7","9","18","21","23","29","11"
"10081","2","10","10","21","25","31","9"
"10082","6","11","21","25","29","32","8"
"10083","5","6","12","19","28","30","12"
"10084","-1","3","13","22","26","30","9"
"10085","3","6","11","19","24","27","11"
"10086","2","7","13","19","23","30","5"
"10087","4","11","15","23","24","28","4"
"10088","5","9","11","21","24","32","9"
"10089","4","11","16","20","26","31","3"
"10090","2","2","12","20","21","24","6"
"10091","3","12","15","21","24","29","9"
"10092","5","8","15","21","26","29","11"
"10093","3","5","13","19","26","28","5"
"10094","8","12","15","20","23","25","8"
"10095","4","12","17","24","28","31","13"
"10096","4","10","14","20","25","30","7"
"10097","3","9","13","14","22","22","12"
"10098","5","10","10","16","24","27","7"
"10099","7","8","8","18","26","29","10"
"10100","4","8","12","18","22","28","4"
"10101","4","15","19","26","31","33","9"
"10102","4","7","21","23","26","30","6"
"10103","4","10","15","19","25","29","7"
"10104","5","11","12","19","25","31","6"
"10105","3","11","11","16","27","29","12"
"10106","3","14","16","24","25","29","8"
"10107","2","10","17","23","27","30","14"
"10108","6","10","11","19","24","29","9"
"10109","5","10","13","23","28","31","11"
"10110","8","12","15","18","22","33","8"
"10111","3","8","15","27","28","29","8"
"10112","6","13","16","19","29","32","7"
"10113","10","13","19","25","30","32","8"
"10114","4","8","15","16","21","30","7"
"10115","4","10","15","17","26","33","11"
"10116","12","13","13","18","24","30","8"
"10117","6","17","21","26","30","32","4"
"10118","6","12","15","19","28","29","12"
"10119","4","9","15","18","24","29","4"
"10120","3","6","18","18","21","30","10"
"10121","1","6","7","12","17","22","9"
"10122","5","6","14","21","22","26","8"
"10123","3","10","14","18","19","23","8"
"10124","2","7","10","15","25","32","12"
"10125","6","12","19","23","26","30","8"
"10126","3","8","14","18","24","29","8"
"10127","7","11","16","20","25","28","8"
"10128","4","7","10","21","22","25","10"
"10129","4","10","11","18","18","27","13"
"10130","5","9","14","24","24","31","8"
"10131","9","10","15","18","25","26","7"
"10132","7","9","15","27","28","32","9"
"10133","4","11","16","17","19","24","9"
"10134","3","9","14","19","20","30","5"
"10135","7","16","18","23","23","32","6"
"10136","4","6","12","17","24","30","14"
"10137","0","5","13","22","22","25","7"
"10138","8","8","13","20","21","27","7"
"10139","4","11","16","20","27","30","11"
"10140","6","11","16","21","24","26","4"
"10141","1","8","9","16","17","29","8"
"10142","6","13","15","25","28","30","9"
"10143","1","10","12","13","22","28","1"
"10144","4","9","20","24","24","30","3"
"10145","4","6","11","15","20","27","7"
"10146","5","9","11","16","26","30","13"
"10147","9","16","21","24","29","31","10"
"10148","4","10","11","17","23","30","11"
"10149","2","7","11","13","20","26","8"
"10150","5","8","9","18","23","31","11"
"10151","1","8","10","19","24","27","8"
"10152","5","10","17","20","23","30","10"
"10153","5","6","8","13","20","32","8"
"10154","2","9","12","18","25","30","5"
"11002","6","7","16","20","27","30","10"
"11003","5","5","16","17","17","27","7"
"11004","3","10","14","15","23","25","4"
"11005","2","7","20","23","29","31","8"
"11006","3","7","15","22","25","28","10"
"11007","3","10","13","21","27","32","8"
"11008","4","8","8","21","22","29","7"
"11009","4","13","14","19","23","34","17"
"11010","2","9","19","19","26","29","11"
"11011","1","8","15","22","27","31","10"
"11012","6","12","18","20","26","27","9"
"11013","4","7","12","17","20","27","6"
"11014","5","7","8","14","18","24","2"
"11015","3","8","14","22","26","32","6"
"11016","2","6","11","16","23","31","8"
"11017","2","8","10","20","25","31","11"
"11018","7","9","24","28","29","31","1"
"11019","4","5","9","17","26","31","5"
"11020","4","10","16","17","18","23","4"
"11021","2","7","15","19","27","29","10"
"11022","5","10","18","20","24","29","4"
"11023","7","12","20","26","30","33","14"
"11024","6","7","17","17","20","24","6"
"11025","5","7","11","21","25","31","5"
"11026","8","12","21","25","26","31","7"
"11027","7","11","16","20","23","29","9"
"11028","7","10","10","19","19","28","9"
"11029","4","9","18","19","23","29","10"
"11030","2","4","11","11","21","25","9"
"11031","3","14","24","27","29","34","10"
"11032","6","8","14","23","27","30","1"
"11033","5","8","18","19","21","29","14"
"11034","8","8","11","14","21","29","9"
"11035","5","13","18","24","25","31","11"
"11036","2","7","12","20","20","28","13"
"11037","6","13","16","21","25","29","8"
"11038","6","10","11","16","22","25","13"
"11039","7","10","16","17","24","29","5"
"11040","5","10","16","19","23","25","1"
"11041","2","4","8","14","21","26","9"
"11042","1","8","14","23","24","30","11"
"11043","8","9","14","16","21","32","17"
"11044","5","14","16","21","28","31","9"
"11045","6","11","14","15","25","27","12"
"11046","5","8","12","13","19","23","17"
"11047","4","11","15","20","26","31","7"
"11048","2","11","13","19","25","31","8"
"11049","7","7","12","17","28","31","10"
"11050","1","4","10","20","24","29","11"
"11051","6","6","12","22","29","32","7"
"11052","3","11","11","20","23","27","8"
"11053","4","13","22","23","28","29","9"
"11054","4","7","14","16","24","33","11"
"11055","7","15","22","23","27","29","13"
"11056","6","10","15","20","26","29","7"
"11057","3","7","12","21","28","33","10"
"11058","4","11","11","20","29","32","6"
"11059","3","10","12","19","29","31","3"
"11060","5","10","15","19","25","29","5"
"11061","11","14","17","22","24","30","6"
"11062","7","10","16","17","19","28","6"
"11063","6","10","11","20","25","30","11"
"11064","17","18","21","21","22","26","9"
"11065","3","9","14","22","28","33","12"
"11066","6","9","12","12","23","32","2"
"11067","6","12","13","18","25","28","7"
"11068","9","17","23","24","25","32","7"
"11069","1","10","16","19","21","27","11"
"11070","5","9","13","17","23","29","9"
"11071","6","11","13","20","24","26","8"
"11072","3","7","9","17","23","23","13"
"11073","5","11","13","18","22","29","9"
"11074","5","7","14","15","21","26","6"
"11075","2","9","15","16","24","27","11"
"11076","6","11","11","17","20","24","7"
"11077","4","13","15","25","25","27","8"
"11078","4","7","18","21","27","29","6"
"11079","5","10","14","20","25","26","8"
"11080","3","4","5","11","18","25","7"
"11081","3","3","7","19","23","26","13"
"11082","2","8","11","15","23","29","5"
"11083","7","12","14","25","25","27","9"
"11084","5","9","11","24","26","27","11"
"11085","5","7","15","18","25","26","8"
"11086","2","13","15","19","25","30","9"
"11087","4","11","11","16","26","29","9"
"11088","8","12","18","24","28","29","8"
"11089","6","9","19","19","27","28","4"
"11090","5","8","13","14","16","23","3"
"11091","3","8","11","16","23","30","10"
"11092","7","10","16","19","20","26","8"
"11093","8","15","15","20","27","31","11"
"11094","4","7","13","20","24","29","8"
"11095","5","10","12","18","26","31","8"
"11096","6","9","10","16","17","21","5"
"11097","4","7","12","20","23","30","11"
"11098","6","10","16","19","21","25","9"
"11099","3","9","11","14","19","27","9"
"11100","5","15","18","23","26","29","5"
"11101","7","14","16","23","25","28","14"
"11102","3","11","14","15","19","19","13"
"11103","4","6","7","14","26","31","11"
"11104","3","6","11","20","28","32","16"
"11105","2","10","15","18","22","30","8"
"11106","1","5","14","16","27","30","9"
"11107","2","7","12","17","19","22","5"
"11108","2","6","14","22","27","30","5"
"11109","7","8","14","15","20","31","10"
"11110","5","8","18","19","19","22","14"
"11111","4","13","16","19","25","28","11"
"11112","8","11","15","20","24","33","13"
"11113","2","3","12","16","18","26","5"
"11114","6","9","11","24","30","31","10"
"11115","4","13","16","19","22","30","5"
"11116","6","12","18","19","23","30","9"
"11117","7","13","18","19","26","28","4"
"11118","5","8","14","19","27","31","11"
"11119","2","8","14","17","21","29","11"
"11120","3","9","16","17","19","30","8"
"11121","3","15","18","21","23","30","10"
"11122","6","7","16","19","27","32","8"
"11123","5","12","18","24","27","28","8"
"11124","4","12","15","16","21","28","4"
"11125","4","4","13","16","23","29","8"
"11126","3","8","13","21","28","29","8"
"11127","1","8","9","21","24","31","9"
"11128","3","4","8","15","22","30","10"
"11129","6","10","11","19","23","28","9"
"11130","4","7","17","18","28","32","6"
"11131","9","10","15","22","26","27","13"
"11132","5","12","15","18","26","29","8"
"11133","10","18","19","25","30","31","6"
"11134","1","7","16","21","23","28","8"
"11135","7","13","17","18","26","27","10"
"11136","5","12","16","21","27","29","8"
"11137","3","12","16","22","24","29","5"
"11138","1","6","10","12","20","25","7"
"11139","1","3","10","16","21","28","6"
"11140","4","9","11","18","25","30","10"
"11141","3","4","7","17","21","29","12"
"11142","5","19","19","23","25","29","7"
"11143","7","7","14","20","20","31","10"
"11144","4","7","13","15","21","30","11"
"11145","7","11","16","20","22","24","5"
"11146","3","7","10","22","23","28","13"
"11147","1","6","12","16","23","24","5"
"11148","8","13","16","25","29","30","10"
"11149","3","9","19","21","30","31","6"
"11150","7","12","16","17","22","30","9"
"11151","5","10","13","20","22","31","6"
"11152","3","4","9","18","18","19","12"
"11153","8","14","21","22","25","28","11"
"11154","3","3","10","18","24","30","10"
"12002","9","12","14","21","23","30","8"
"12003","2","5","6","16","22","23","8"
"12004","3","8","8","12","27","28","14"
"12005","4","4","4","13","14","26","3"
"12006","6","6","14","18","19","25","6"
"12007","6","10","14","20","23","29","8"
"12008","2","8","12","17","20","29","9"
"12009","5","14","18","19","23","29","6"
"12010","9","15","16","19","25","31","13"
"12011","3","8","19","21","25","28","5"
"12012","3","6","9","21","25","29","7"
"12013","4","6","14","15","25","27","7"
"12014","4","13","19","26","29","32","10"
"12015","1","7","16","20","25","30","7"
"12016","4","7","10","17","23","29","15"
"12017","4","8","11","18","26","32","12"
"12018","3","8","10","21","24","29","12"
"12019","1","5","8","18","24","31","10"
"12020","2","8","9","15","27","28","13"
"12021","7","15","20","25","29","33","10"
"12022","7","12","18","24","26","31","11"
"12023","6","10","13","18","27","29","15"
"12024","1","9","13","19","20","29","3"
"12025","6","9","13","17","25","27","2"
"12026","2","9","18","19","25","26","16"
"12027","8","10","12","22","26","31","3"
"12028","2","6","7","10","17","23","14"
"12029","4","5","8","18","22","29","11"
"12030","7","9","10","15","23","29","11"
"12031","5","9","20","25","25","31","9"
"12032","6","11","16","24","24","27","3"
"12033","3","6","14","14","25","30","12"
"12034","3","7","13","20","22","29","6"
"12035","7","9","19","21","30","36","9"
"12036","8","11","15","17","27","30","9"
"12037","8","9","15","21","25","30","6"
"12038","6","8","14","18","26","28","7"
"12039","9","14","17","17","18","26","9"
"12040","5","10","12","22","25","31","12"
"12041","5","9","16","23","27","31","4"
"12042","1","10","20","26","29","33","11"
"12043","2","5","13","18","22","28","5"
"12044","4","10","16","19","27","32","7"
"12045","1","3","9","17","21","27","12"
"12046","3","8","16","20","23","26","12"
"12047","2","12","18","21","25","30","2"
"12048","2","8","13","17","19","27","3"
"12049","5","11","15","21","25","33","2"
"12050","5","12","18","19","24","30","6"
"12051","1","7","10","22","25","28","13"
"12052","1","8","11","19","26","29","9"
"12053","4","5","9","11","12","24","6"
"12054","6","13","14","18","26","30","10"
"12055","5","8","13","18","25","28","15"
"12056","6","12","12","16","25","28","5"
"12057","4","9","13","17","22","31","9"
"12058","4","7","8","15","20","32","10"
"12059","10","14","21","27","28","30","10"
"12060","7","14","15","16","23","31","4"
"12061","3","9","13","15","22","29","11"
"12062","3","7","10","14","21","30","10"
"12063","2","9","20","25","30","32","10"
"12064","2","6","11","15","21","32","4"
"12065","5","10","16","22","23","32","9"
"12066","6","7","11","21","25","29","7"
"12067","7","15","20","21","30","32","3"
"12068","3","14","19","23","28","31","3"
"12069","4","11","18","21","28","29","11"
"12070","5","6","9","12","19","19","9"
"12071","5","9","18","21","23","27","1"
"12072","9","12","16","16","20","26","11"
"12073","2","7","14","23","29","30","3"
"12074","4","9","9","18","25","28","14"
"12075","3","9","10","19","20","26","8"
"12076","2","4","11","16","21","28","7"
"12077","9","12","16","18","25","32","10"
"12078","3","8","11","18","22","29","10"
"12079","3","7","16","22","26","31","11"
"12080","3","9","10","16","19","28","7"
"12081","3","7","13","18","22","28","7"
"12082","4","10","11","17","18","27","6"
"12083","5","8","12","17","17","24","11"
"12084","2","8","8","20","22","23","4"
"12085","4","8","13","16","28","30","7"
"12086","3","8","11","15","25","28","13"
"12087","2","8","9","14","23","27","10"
"12088","2","11","14","15","21","29","8"
