"V1","V2","V3","V4","V5","V6","V7","V8"
"8002","4","7","12","24","24","27","13"
"8003","4","11","11","18","25","28","12"
"8004","1","11","15","18","24","29","11"
"8005","2","5","18","23","25","26","5"
"8006","3","4","13","15","21","28","6"
"8007","3","4","16","21","23","29","11"
"8008","3","9","14","24","28","28","1"
"8009","8","13","14","22","26","32","6"
"8010","3","5","14","19","20","30","9"
"8011","3","4","21","21","22","33","2"
"8012","5","10","13","15","26","30","7"
"8013","4","9","14","23","25","28","7"
"8014","5","8","18","21","26","26","6"
"8015","3","6","17","20","22","31","6"
"8016","3","5","15","21","29","31","14"
"8017","4","10","13","15","20","28","15"
"8018","3","8","13","20","29","29","7"
"8019","4","10","12","26","26","27","-1"
"8020","4","7","19","19","19","29","8"
"8021","3","13","14","17","18","30","9"
"8022","5","7","9","17","28","32","8"
"8023","2","10","10","22","24","29","11"
"8024","2","5","9","12","23","30","6"
"8025","1","7","9","23","26","32","7"
"8026","9","12","21","22","22","27","11"
"8027","3","7","18","19","26","30","12"
"8028","4","7","14","18","25","25","14"
"8029","2","5","12","20","29","31","14"
"8030","4","9","12","19","20","30","6"
"8031","3","9","18","21","23","30","7"
"8032","4","6","12","22","25","29","12"
"8033","5","14","15","16","22","25","9"
"8034","3","10","16","25","28","31","13"
"8035","5","7","10","19","21","28","12"
"8036","1","8","14","18","26","28","2"
"8037","4","15","16","17","25","31","13"
"8038","4","6","19","21","24","29","12"
"8039","3","8","14","20","28","32","11"
"8040","4","10","18","18","22","26","10"
"8041","3","10","15","26","26","32","12"
"8042","6","15","16","18","28","30","4"
"8043","3","7","13","25","26","26","13"
"8044","7","7","8","17","25","27","10"
"8045","2","10","15","24","27","29","16"
"8046","4","10","15","17","20","31","13"
"8047","4","10","15","16","22","30","3"
"8048","3","5","8","14","25","28","14"
"8049","4","8","9","20","22","29","12"
"8050","6","6","17","18","26","27","14"
"8051","4","11","15","17","27","28","5"
"8052","6","8","15","16","21","32","5"
"8053","3","8","13","24","26","29","12"
"8054","6","15","16","20","24","27","11"
"8055","7","9","13","21","26","29","11"
"8056","4","5","16","24","26","31","10"
"8057","8","11","13","14","16","20","10"
"8058","9","12","18","21","22","30","9"
"8059","2","10","14","20","20","29","11"
"8060","8","12","17","24","24","28","9"
"8061","4","5","16","17","20","30","6"
"8062","4","10","12","24","24","30","8"
"8063","4","9","12","18","22","28","13"
"8064","4","15","19","19","20","32","15"
"8065","4","10","11","22","25","26","16"
"8066","2","16","16","18","24","30","9"
"8067","3","3","18","25","27","30","10"
"8068","2","9","10","13","22","30","13"
"8069","1","10","15","16","23","26","9"
"8070","2","7","9","14","25","28","9"
"8071","3","14","17","21","28","30","12"
"8072","2","9","17","20","21","27","3"
"8073","4","5","13","20","24","29","4"
"8074","8","8","18","19","20","28","11"
"8075","3","8","13","23","27","29","10"
"8076","2","9","12","18","23","26","2"
"8077","3","10","10","18","29","30","3"
"8078","4","5","18","18","21","28","2"
"8079","5","11","12","23","27","28","15"
"8080","3","9","15","18","20","28","11"
